region,site_name,lawa_site_id,indicator,year,days_measured,exceed_who_daily,exceed_nes_daily
Canterbury,Kaiapoi,LAWA-100071,PM10,2019,365,11,8.0
Canterbury,Kaiapoi,LAWA-100071,PM10,2020,335,5,3.0
Canterbury,Kaiapoi,LAWA-100071,PM10,2021,364,6,3.0
Canterbury,Kaiapoi,LAWA-100071,PM10,2022,365,16,11.0
Canterbury,Kaiapoi,LAWA-100071,PM10,2023,362,8,5.0
Canterbury,Kaiapoi,LAWA-100071,PM10,2024,366,18,10.0
Canterbury,Kaiapoi,LAWA-100071,PM2.5,2016,117,1,
Canterbury,Kaiapoi,LAWA-100071,PM2.5,2017,361,85,
Canterbury,Kaiapoi,LAWA-100071,PM2.5,2018,361,63,
Canterbury,Kaiapoi,LAWA-100071,PM2.5,2019,365,77,
Canterbury,Kaiapoi,LAWA-100071,PM2.5,2020,336,58,
Canterbury,Kaiapoi,LAWA-100071,PM2.5,2021,364,62,
Canterbury,Kaiapoi,LAWA-100071,PM2.5,2022,365,66,
Canterbury,Kaiapoi,LAWA-100071,PM2.5,2023,362,69,
Canterbury,Kaiapoi,LAWA-100071,PM2.5,2024,366,84,
Canterbury,Rangiora,LAWA-100115,PM10,2016,363,9,7.0
Canterbury,Rangiora,LAWA-100115,PM10,2017,365,9,7.0
Canterbury,Rangiora,LAWA-100115,PM10,2018,364,1,0.0
Canterbury,Rangiora,LAWA-100115,PM10,2019,363,9,3.0
Canterbury,Rangiora,LAWA-100115,PM10,2020,334,6,4.0
Canterbury,Rangiora,LAWA-100115,PM10,2021,365,7,2.0
Canterbury,Rangiora,LAWA-100115,PM10,2022,365,5,3.0
Canterbury,Rangiora,LAWA-100115,PM10,2023,365,4,2.0
Canterbury,Rangiora,LAWA-100115,PM10,2024,366,1,1.0
Canterbury,Rangiora,LAWA-100115,PM2.5,2016,363,57,
Canterbury,Rangiora,LAWA-100115,PM2.5,2017,349,63,
Canterbury,Rangiora,LAWA-100115,PM2.5,2018,349,39,
Canterbury,Rangiora,LAWA-100115,PM2.5,2019,344,53,
Canterbury,Rangiora,LAWA-100115,PM2.5,2020,334,63,
Canterbury,Rangiora,LAWA-100115,PM2.5,2021,365,47,
Canterbury,Rangiora,LAWA-100115,PM2.5,2022,365,44,
Canterbury,Rangiora,LAWA-100115,PM2.5,2023,365,51,
Canterbury,Rangiora,LAWA-100115,PM2.5,2024,366,59,
Canterbury,St Albans,LAWA-100122,PM10,2016,366,5,3.0
Canterbury,St Albans,LAWA-100122,PM10,2017,365,8,4.0
Canterbury,St Albans,LAWA-100122,PM10,2018,365,5,3.0
Canterbury,St Albans,LAWA-100122,PM10,2019,365,6,4.0
Canterbury,St Albans,LAWA-100122,PM10,2020,320,4,2.0
Canterbury,St Albans,LAWA-100122,PM2.5,2016,364,44,
Canterbury,St Albans,LAWA-100122,PM2.5,2017,353,49,
Canterbury,St Albans,LAWA-100122,PM2.5,2018,349,32,
Canterbury,St Albans,LAWA-100122,PM2.5,2019,363,42,
Canterbury,St Albans,LAWA-100122,PM2.5,2020,320,38,
Canterbury,St Albans EP,LAWA-102877,PM10,2021,29,0,0.0
Canterbury,St Albans EP,LAWA-102877,PM10,2022,365,6,3.0
Canterbury,St Albans EP,LAWA-102877,PM10,2023,358,2,1.0
Canterbury,St Albans EP,LAWA-102877,PM10,2024,361,3,2.0
