region,site_name,lawa_site_id,indicator,year,mean_ugm3,days_measured,first_date,last_date,pct_coverage
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2022,9.670220289855072,345,2022-01-01 01:00:00,2022-12-31 01:00:00,94.5
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2023,7.550588888888889,360,2023-01-01 01:00:00,2023-12-31 01:00:00,98.6
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM10,2024,12.970635854341737,357,2024-01-01 01:00:00,2024-12-31 01:00:00,97.8
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM2.5,2023,4.49075,48,2023-11-14 01:00:00,2023-12-31 01:00:00,13.2
Bay of Plenty,Mount Maunganui at Whareroa Marae,LAWA-102806,PM2.5,2024,4.787524861878453,362,2024-01-01 01:00:00,2024-12-31 01:00:00,99.2
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2016,15.092813186813187,182,2016-01-01 01:00:00,2016-12-31 01:00:00,49.9
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2017,16.645642857142857,364,2017-01-01 01:00:00,2017-12-31 01:00:00,99.7
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2018,13.755868804664722,343,2018-01-01 01:00:00,2018-12-31 01:00:00,94.0
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2019,13.971610644257703,357,2019-01-01 01:00:00,2019-12-31 01:00:00,97.8
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2020,12.192221590909092,352,2020-01-01 01:00:00,2020-12-31 01:00:00,96.4
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2021,11.063332417582417,364,2021-01-01 01:00:00,2021-12-31 01:00:00,99.7
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2022,10.607934131736528,334,2022-01-01 01:00:00,2022-12-31 01:00:00,91.5
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2023,9.703875,360,2023-01-01 01:00:00,2023-12-31 01:00:00,98.6
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM10,2024,10.771880555555555,360,2024-01-01 01:00:00,2024-12-31 01:00:00,98.6
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2016,9.127860759493672,316,2016-01-01 01:00:00,2016-12-31 01:00:00,86.6
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2017,11.342910863509749,359,2017-01-01 01:00:00,2017-12-31 01:00:00,98.4
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2018,9.865060606060606,330,2018-01-01 01:00:00,2018-12-31 01:00:00,90.4
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2019,9.55566106442577,357,2019-01-01 01:00:00,2019-12-31 01:00:00,97.8
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2020,8.17630965909091,352,2020-01-01 01:00:00,2020-12-31 01:00:00,96.4
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2021,7.493373626373627,364,2021-01-01 01:00:00,2021-12-31 01:00:00,99.7
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2022,6.989955089820359,334,2022-01-01 01:00:00,2022-12-31 01:00:00,91.5
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2023,6.264413888888888,360,2023-01-01 01:00:00,2023-12-31 01:00:00,98.6
Bay of Plenty,Rotorua at Edmund Rd,LAWA-100150,PM2.5,2024,7.254266666666667,360,2024-01-01 01:00:00,2024-12-31 01:00:00,98.6
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2018,14.88313358778626,262,2018-01-10 01:00:00,2018-12-31 01:00:00,71.8
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2019,14.171100946372238,317,2019-01-01 01:00:00,2019-12-31 01:00:00,86.8
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2020,14.849453124999998,192,2020-01-01 01:00:00,2020-12-31 01:00:00,52.6
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2021,15.552360881542699,363,2021-01-01 01:00:00,2021-12-31 01:00:00,99.5
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2022,14.520709039548024,354,2022-01-01 01:00:00,2022-12-31 01:00:00,97.0
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2023,13.081526912181301,353,2023-01-01 01:00:00,2023-12-31 01:00:00,96.7
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM10,2024,13.87013924050633,316,2024-01-01 01:00:00,2024-12-31 01:00:00,86.6
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2020,7.711311320754717,106,2020-09-17 00:00:00,2020-12-31 01:00:00,29.0
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2021,7.739614958448754,361,2021-01-01 01:00:00,2021-12-31 01:00:00,98.9
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2022,8.367857142857144,364,2022-01-01 01:00:00,2022-12-31 01:00:00,99.7
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2023,8.855502747252746,364,2023-01-01 01:00:00,2023-12-31 01:00:00,99.7
Bay of Plenty,Rotorua at Moses Rd,LAWA-103651 ,PM2.5,2024,8.820429936305732,314,2024-01-01 01:00:00,2024-12-31 01:00:00,86.0
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2016,10.193866883116883,308,2016-01-01 01:00:00,2016-12-31 01:00:00,84.4
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2017,9.720974930362116,359,2017-01-01 01:00:00,2017-12-31 01:00:00,98.4
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2018,10.704703832752614,287,2018-01-01 01:00:00,2018-12-31 01:00:00,78.6
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2019,11.310125000000001,248,2019-04-17 00:00:00,2019-12-31 01:00:00,67.9
Bay of Plenty,Tauranga at Otumoetai,LAWA-100126,PM10,2020,10.392850282485876,354,2020-01-01 01:00:00,2020-12-31 01:00:00,97.0
